,,input_type::numeric,input_type::symbolic,input_type::text,input_type::structured,input_type::unstructured,input_type::other,input_type::temporal,task::inference,task::regression,task::classification,task::learning,task::recognition,task::extraction,task::optimisation,task::search,task::representation,task::other,output_type::number,output_type::label,output_type::text,output_type::facts,output_type::structured,output_type::unstructured,output_type::other,background_input_type::rules,background_input_type::topology,background_input_type::examples,background_input_type::number,background_input_type::agents,background_input_type::evaluation_function,background_input_type::other,inspiration::cognitive,inspiration::biological,inspiration::abstract,inspiration::other
Q245652,ensemble learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q460851,Ant colony optimization algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q799897,Bootstrap aggregating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41589189,sequence-to-sequence learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60921277,random survival forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7795822,Thompson sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4677561,active learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q51289900,deep neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q830527,best-first search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q727515,affinity analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q194706,Boltzmann machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q786435,autoencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22826110,GloVe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59138899,rule-based expert system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7049464,nonlinear dimensionality reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17093018,kernel perceptron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1718507,sequence mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2679684,Radial basis function network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25048660,multiple kernel learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20082800,Elman Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q466303,boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25325414,neural Turing machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1271424,part-of-speech tagging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1407668,Hopfield network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q187787,genetic algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2079562,SHODAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12072154,recursive best-first search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20082799,Jordan Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18393747,recursive neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1152135,unsupervised learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18395344,word embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58945661,local beam search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29043221,sentence embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29043227,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4724365,Algorithmic probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q192776,artificial neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59138925,frame-based expert system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28456560,Anytime A*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3504403,modular neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47165059,decompounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q690207,perceptron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30315025,Google Wavenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5011304,CHREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57830419,heuristic search algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3478658,knowledge representation and reasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4875410,Bcpnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22673982,Word2vec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14489129,evolutionary algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q277680,A* search algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q863783,Simulated annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q769931,winner-take-all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57726754,HyperTraPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6673524,Long Short-Term Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q197536,deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2976575,biclustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32081746,graph embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7310712,relational data mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25104379,generative adversarial network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q830687,reinforcement learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1868524,local search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54811238,graph convolutional network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1385229,Metaheuristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q42417573,highway network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2991667,multilayer perceptron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q493743,SMA*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7301486,Reason maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q282453,support vector machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1744628,statistical classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17003931,Brown clustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1197129,evolutionary computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28015646,Recurrent Entity Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q33003557,knowledge graph embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q622825,cluster analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39017646,memory-augmented neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5441227,feedforward neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q245748,random forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q348261,ADALINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25111428,label propagation algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25212700,Chinese Whispers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55441204,3D-convolutional neural networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q133580,Explanation-based learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16766476,decision tree learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5156806,compositional pattern-producing network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17084460,convolutional neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1981968,heuristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1259145,independent component analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3784250,structure mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5591907,gradient boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7604413,statistical relational learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1277447,hierarchical clustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1457734,recurrent neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7246859,Probabilistic neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5418671,Evolutionary Algorithm for Landmark Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2835852,beam search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4833637,B*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q386780,association rule learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5532874,genetic algorithm scheduling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5008578,CADUCEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25051436,archetypal analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29124045,fastText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20789991,lasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2608526,process mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55080229,deep reinforcement learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q334384,supervised learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1898737,Morphological analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1426666,Least mean squares filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25304494,Sparse dictionary learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2438971,tokenization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4316454,Kohonen neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6086067,Isomap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

